,open,high,low,close,volume
2024-05-31,408.09,415.4,406.88,414.4,5197520.0
2024-05-30,403.77,409.04,402.7701,408.61,2907090.0
2024-05-29,403.0,405.87,401.58,404.09,3428787.0
2024-05-28,408.24,408.24,401.87,403.9,3321863.0
2024-05-24,406.9,407.9599,405.5,407.41,2068921.0
2024-05-23,413.25,413.25,404.87,405.88,3398121.0
2024-05-22,414.95,417.26,412.96,413.99,2673507.0
2024-05-21,413.59,415.7,412.56,414.37,2740759.0
2024-05-20,417.04,417.28,412.615,413.0,3292715.0
2024-05-17,413.98,417.33,413.7,416.94,2990028.0
2024-05-16,413.8,416.34,412.91,413.12,3550693.0
2024-05-15,410.51,413.4,410.1,412.76,2857594.0
2024-05-14,410.45,411.5592,408.17,410.24,2674407.0
2024-05-13,414.06,414.2996,410.19,411.22,2711154.0
2024-05-10,409.85,412.38,409.2,412.05,3087837.0
2024-05-09,406.25,408.87,405.46,408.82,2358862.0
2024-05-08,406.47,407.229,403.75,406.37,2399639.0
2024-05-07,406.93,407.26,403.6105,406.14,3085702.0
2024-05-06,403.96,405.15,399.26,404.92,3920908.0
2024-05-03,404.5,404.5,399.21,400.87,4130994.0
2024-05-02,401.0,401.56,397.88,400.6,2679740.0
2024-05-01,396.61,402.32,396.35,398.58,2606198.0
2024-04-30,400.58,400.6,396.37,396.73,3074765.0
2024-04-29,402.66,404.87,400.08,400.96,2365421.0
2024-04-26,403.92,404.75,401.41,402.1,3025406.0
2024-04-25,404.85,406.14,400.35,404.91,2676009.0
2024-04-24,407.1,407.62,403.88,405.95,2508495.0
2024-04-23,410.25,410.72,405.64,408.74,2288595.0
2024-04-22,406.84,411.35,406.25,408.78,2981614.0
2024-04-19,401.04,405.57,400.17,405.08,3999913.0
2024-04-18,399.7,402.99,399.1,399.89,2672415.0
2024-04-17,398.94,399.28,395.661,397.74,2466391.0
2024-04-16,400.97,401.25,396.5,396.92,3438078.0
2024-04-15,406.99,409.0554,399.86,400.26,3004477.0
2024-04-12,405.0,407.21,401.44,403.26,3469707.0
2024-04-11,408.4,411.1499,404.0531,407.61,2891952.0
2024-04-10,412.74,413.56,407.53,409.11,3125230.0
2024-04-09,416.58,417.32,412.12,414.69,2199528.0
2024-04-08,418.32,418.57,415.625,415.97,2420950.0
2024-04-05,416.56,419.27,415.41,418.62,2731160.0
2024-04-04,423.84,424.52,414.55,415.32,3745938.0
2024-04-03,419.0,421.9099,418.52,420.24,2709327.0
2024-04-02,419.75,421.01,418.085,418.92,2746364.0
2024-04-01,421.49,421.66,417.81,420.2,2511697.0
2024-03-28,417.8,421.44,415.85,420.52,4378770.0
2024-03-27,413.65,417.21,413.4,416.93,2929158.0
2024-03-26,410.0,412.66,408.6001,411.57,2936406.0
2024-03-25,410.67,411.065,408.9244,409.92,2808910.0
2024-03-22,413.0,414.35,411.4,411.6,3000546.0
2024-03-21,416.7,417.825,413.51,413.78,3402874.0
2024-03-20,412.02,416.31,411.55,416.11,2935528.0
2024-03-19,409.08,412.19,408.09,411.76,2804025.0
2024-03-18,408.7,410.5999,406.0,408.41,3778561.0
2024-03-15,404.27,408.46,402.5,408.13,7557843.0
2024-03-14,409.08,409.08,403.34,406.73,3719807.0
2024-03-13,405.3,409.0,404.15,408.13,3576904.0
2024-03-12,406.78,407.2,404.1,404.98,2594738.0
2024-03-11,403.3,405.01,402.74,404.76,2375985.0
2024-03-08,401.08,403.36,400.01,403.15,3417859.0
2024-03-07,406.11,406.4,399.5699,402.39,4187608.0
2024-03-06,402.18,407.44,401.695,403.96,3842562.0
2024-03-05,402.55,403.3279,398.78,400.74,4714395.0
2024-03-04,405.0,405.95,401.43,403.39,4183800.0
2024-03-01,409.48,410.39,405.45,407.11,3284244.0
2024-02-29,413.1,413.79,408.38,409.4,4849104.0
2024-02-28,408.5,414.665,407.7126,412.14,4069203.0
2024-02-27,409.21,409.9625,401.71,408.91,4610892.0
2024-02-26,422.0,430.0,408.8468,409.14,7446190.0
2024-02-23,417.68,420.56,416.52,417.22,4025164.0
2024-02-22,411.3,416.26,411.0,415.16,3697494.0
2024-02-21,408.26,409.48,406.7,409.25,2720475.0
2024-02-20,406.47,411.11,406.06,407.15,3534163.0
2024-02-16,404.44,406.74,402.59,405.99,3533386.0
2024-02-15,399.14,404.2699,398.3,403.45,3076698.0
2024-02-14,395.15,398.86,393.5477,398.68,2670953.0
2024-02-13,397.18,399.705,392.1,394.8,3459672.0
2024-02-12,398.65,399.48,396.19,397.71,2820408.0
2024-02-09,397.31,398.36,395.82,398.36,2510146.0
2024-02-08,397.22,398.65,394.85,397.49,3359311.0
2024-02-07,394.6,399.15,394.36,397.66,3429024.0
2024-02-06,390.29,393.93,390.0,393.74,2574602.0
2024-02-05,389.95,393.37,389.285,390.76,3653265.0
2024-02-02,386.68,392.07,386.44,390.75,3808499.0
2024-02-01,384.0,386.55,381.475,386.44,2949959.0
2024-01-31,386.53,387.92,383.55,383.74,3857684.0
2024-01-30,383.24,387.64,380.08,387.15,3094226.0
2024-01-29,385.49,385.7,379.17,383.18,3799251.0
2024-01-26,381.05,385.73,380.0,385.4,3624361.0
2024-01-25,379.24,380.99,377.89,380.85,4059189.0
2024-01-24,372.53,377.79,372.03,376.59,4252355.0
2024-01-23,368.02,372.42,367.705,372.14,2900467.0
2024-01-22,368.05,369.27,366.53,368.06,3558313.0
2024-01-19,362.25,368.31,361.02,366.99,4092548.0
2024-01-18,359.25,362.64,358.3,362.38,3008442.0
2024-01-17,359.01,362.53,357.98,359.29,2551707.0
2024-01-16,362.94,363.6,359.89,361.1,3047780.0
2024-01-12,366.51,366.85,362.5672,363.62,2623907.0
2024-01-11,367.81,367.89,362.13,363.34,3579713.0
2024-01-10,366.26,368.83,365.75,367.92,2448737.0
2024-01-09,368.0,368.0,364.77,366.9,2999607.0
